ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_MeanRadius,AreaShape_MedianRadius,Children_Oospores_dual_Count,Children_Oospores_green_Count,Children_Oospores_red_Count,Children_Oospores_unstained_Count,Intensity_IntegratedIntensity_FITC,Intensity_IntegratedIntensity_T_Red,Intensity_LowerQuartileIntensity_FITC,Intensity_LowerQuartileIntensity_T_Red,Intensity_MaxIntensity_FITC,Intensity_MaxIntensity_T_Red,Intensity_MeanIntensity_FITC,Intensity_MeanIntensity_T_Red,Intensity_MedianIntensity_FITC,Intensity_MedianIntensity_T_Red,Intensity_MinIntensity_FITC,Intensity_MinIntensity_T_Red,Intensity_StdIntensity_FITC,Intensity_StdIntensity_T_Red,Intensity_UpperQuartileIntensity_FITC,Intensity_UpperQuartileIntensity_T_Red,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,11,88,2.007544347752511,2.0,1,0,0,0,6.347341134212911,10.10489049879834,0.01756313443183899,0.030807964503765106,0.14740215241909027,0.22848859429359436,0.07212887652514671,0.11482830112270842,0.07075608521699905,0.11436636745929718,0.0045014116913080215,0.006378271151334047,0.05211249457312604,0.08112616734536639,0.1292896866798401,0.21000991761684418,563.0,371.39772727272725,0,11
1,12,75,1.9588037922023083,2.0,1,0,0,0,5.845304031856358,7.337987333303317,0.013836118159815669,0.02059586439281702,0.18550392985343933,0.22928206622600555,0.0779373870914181,0.0978398311107109,0.06243228726089001,0.08567177876830101,0.000839246204122901,0.0015716792549937963,0.06372160857460861,0.08203808018972467,0.14625390619039536,0.18599221855401993,443.3066666666667,372.25333333333333,0,12
1,13,123,2.41332065430397,2.0,0,0,0,1,1.8001068262383342,1.4606088472064584,0.01049057743512094,0.009868772234767675,0.023102158680558205,0.022919051349163055,0.014635014847466132,0.011874868676475272,0.01577782817184925,0.012199588119983673,0.00428778538480401,0.001190203707665205,0.005123330352569126,0.003999265799648238,0.01870756084099412,0.014053559396415949,569.4065040650406,399.5040650406504,0,13
1,14,74,1.9918231816754075,2.0,1,0,0,0,6.4659953294321895,9.5344775961712,0.024116883985698223,0.03615625388920307,0.1728084236383438,0.24168764054775238,0.08737831526259715,0.12884429184015136,0.08445868641138077,0.13685816526412964,0.006134126801043749,0.006530861370265484,0.05992389396398077,0.09026996607708777,0.15255970507860184,0.24168764054775238,876.9864864864865,441.2837837837838,0,14
1,15,82,2.0471344627795602,2.0,1,0,0,0,5.907408284023404,9.248966204933822,0.028816663660109043,0.03778133913874626,0.13333334028720856,0.21168841421604156,0.07204156443930981,0.11279227079187588,0.07360952347517014,0.12300297617912292,0.00883497390896082,0.007751583121716976,0.04271762170398254,0.07445466023125291,0.11854733899235725,0.19711604714393616,1087.7439024390244,461.1951219512195,0,15
1,16,114,2.2458747976577618,2.0,1,0,0,0,11.719401910435408,12.022522329352796,0.03845273517072201,0.0398718249052763,0.18249790370464325,0.1908598393201828,0.10280177114417025,0.10546072218730523,0.11454948037862778,0.11999695003032684,0.00714122224599123,0.004486152436584234,0.06165699132564058,0.06438066683769945,0.1643167808651924,0.17099259793758392,890.2631578947369,463.7105263157895,0,16
1,17,88,2.136182620362488,2.0,1,0,0,0,8.255985326133668,9.096208164002746,0.024811169132590294,0.023407340049743652,0.19375905394554138,0.21432821452617645,0.09381801506970078,0.10336600186366757,0.09082169830799103,0.09906157106161118,0.004074159078299999,0.0026245517656207085,0.06876095771420876,0.07738408849478715,0.17155718803405762,0.19462881982326508,661.2954545454545,499.29545454545456,0,17
1,18,89,2.0767387733315212,2.0,1,0,0,0,8.217166361864656,11.74915681919083,0.024162661749869585,0.03284122981131077,0.1890898048877716,0.24168764054775238,0.09232771193106355,0.1320129979684363,0.09514763206243515,0.10833142697811127,0.005584802012890577,0.005569543223828077,0.06446512394973175,0.09287779028396662,0.16217288747429848,0.24168764054775238,865.0,502.86516853932585,0,18
1,19,84,1.960636346103216,1.7071067811865475,1,0,0,0,7.188799862749875,10.342336029279977,0.02719157747924328,0.03485160693526268,0.1756771206855774,0.24168764054775238,0.08558095074702232,0.12312304796761878,0.07655451446771622,0.10850690305233002,0.003356984816491604,0.00317387655377388,0.06231110096452493,0.09047986767083156,0.1580987274646759,0.2363927662372589,994.4404761904761,503.75,0,19
1,20,105,2.177399828600971,2.0,1,0,0,0,10.739650584757328,13.586282091215253,0.03247119951993227,0.046818493865430355,0.1912108063697815,0.24168764054775238,0.10228238652149836,0.1293931627734786,0.10276950895786285,0.12171358987689018,0.0068818191066384315,0.004730296786874533,0.06703966197785491,0.08527978314841618,0.17469291388988495,0.22495613619685173,511.0857142857143,530.2,0,20
